pes,tf_pes,correction_gain
-2.588,23.7644353168499,1.10155116084007
-2.69765518462557,24.6507288381805,1.10155116084007
-2.80887521687327,-3.95410066609282,1.10155116084007
-2.92296156344097,-4.89029814452601,1.10155116084007
-3.04078458395491,-5.09476894045188,1.10155116084007
-3.1627544209693,-5.29133821031576,1.10155116084007
-3.28889764282509,-5.4928905501479,1.10155116084007
-3.41895275742961,-5.69549649265178,1.10155116084007
-3.55239480396309,-5.89488491411926,1.10155116084007
-3.68834313275427,-6.08518563929241,1.10155116084007
-3.82537337999391,-6.25737798930438,1.10155116084007
-3.96131374998946,-6.39877403283864,1.10155116084007
-4.09312836192628,-6.49400890610895,1.10155116084007
-4.21696503884136,-6.5273144487126,1.10155116084007
-4.32838413874087,-6.48528069486661,1.10155116084007
-4.42271771636334,-6.35911806118801,1.10155116084007
-4.49546478791042,-6.14568846894448,1.10155116084007
-4.54262699998395,-5.84714057199768,1.10155116084007
-4.56092547613063,-5.46955620261869,1.10155116084007
-4.54789431515528,-5.02134725908474,1.10155116084007
-4.50189450217124,-4.51212897177381,1.10155116084007
-4.4221092841343,-3.95240528041984,1.10155116084007
-4.30856276632337,-3.35387672033368,1.10155116084007
-4.16216360714752,-2.7298365328755,1.10155116084007
-3.98473752009795,-2.09508217532578,1.10155116084007
-3.77899507555288,-1.46502457498548,1.10155116084007
-3.5483960117455,-0.854128547510594,1.10155116084007
-3.29691372650901,-0.274255039723603,1.10155116084007
-3.02875114407305,0.266380771522916,1.10155116084007
-2.74808203789219,0.763212718300109,1.10155116084007
-2.45887669345973,1.21440025905837,1.10155116084007
-2.16482574816311,1.619563251628,1.10155116084007
-1.86932318598955,1.97894690569972,1.10155116084007
-1.5754373540783,2.29356129394033,1.10155116084007
-1.28581466129361,2.56617913949262,1.10155116084007
-1.00252286390436,2.80235844705392,1.10155116084007
-0.726912088171668,3.01041920652069,1.10155116084007
-0.4595998918213,3.19982625098548,1.10155116084007
-0.200648773393297,3.37837131304155,1.10155116084007
0.0500803412144473,3.5493123860282,1.10155116084007
0.292505734702326,3.70984624300923,1.10155116084007
0.52599132145622,3.85182958964484,1.10155116084007
0.749238188788,3.96466809527225,1.10155116084007
0.960449019325054,4.03925398655936,1.10155116084007
1.15769994834127,4.07132602503341,1.10155116084007
1.33937522879253,4.06295888660361,1.10155116084007
1.50450927176033,4.02179728215009,1.10155116084007
1.65293638466272,3.95863956644689,1.10155116084007
1.78523833814694,3.88457820719848,1.10155116084007
1.90255792778136,3.80886844420643,1.10155116084007
2.00637544766068,3.73807630495283,1.10155116084007
2.09832094504876,3.67629959568693,1.10155116084007
2.18004700603814,3.62584233257961,1.10155116084007
2.25314945925845,3.58780049806319,1.10155116084007
2.31911196393003,3.56235122694848,1.10155116084007
2.37925908680304,3.54883073333054,1.10155116084007
2.43471883487514,3.54582265491109,1.10155116084007
2.48640619502053,3.55142171365994,1.10155116084007
2.53503216331293,3.56359433712897,1.10155116084007
2.58112210515179,3.58034258869994,1.10155116084007
2.62501203172639,3.59941941870671,1.10155116084007
2.66680009307263,3.61767050469229,1.10155116084007
2.70626325969892,3.63044774710875,1.10155116084007
2.74278770955955,3.6316800178305,1.10155116084007
2.77537979630991,3.61494911648597,1.10155116084007
2.80280561482907,3.57539479275773,1.10155116084007
2.82385569031211,3.51175708796986,1.10155116084007
2.83767193600582,3.42766631469656,1.10155116084007
2.84403703817597,3.3315344826501,1.10155116084007
2.84352961628862,3.23494862596759,1.10155116084007
2.83749084784638,3.15005936214163,1.10155116084007
2.8278113957662,3.08683437470294,1.10155116084007
2.8166059732164,3.05106999182516,1.10155116084007
2.80587401983565,3.04372861739902,1.10155116084007
2.79723642934784,3.06161932496852,1.10155116084007
2.79179621783018,3.09892032419328,1.10155116084007
2.79011856314078,3.14881829093026,1.10155116084007
2.79228831596684,3.2046856312176,1.10155116084007
2.79799514033167,3.26060379323496,1.10155116084007
2.80661388940915,3.31141654403187,1.10155116084007
2.81727332738451,3.35265263978056,1.10155116084007
2.82892349840968,3.38057529309112,1.10155116084007
2.84041534262022,3.39243149704569,1.10155116084007
2.85059996604202,3.38683174412418,1.10155116084007
2.85844535034259,3.36412694724611,1.10155116084007
2.86315915845656,3.32664241238982,1.10155116084007
2.86430058335016,3.27866724714443,1.10155116084007
2.86186198110286,3.22614363483068,1.10155116084007
2.85630108041521,3.17603286803025,1.10155116084007
2.84850729756157,3.13537515726165,1.10155116084007
2.8396930234273,3.11013093354392,1.10155116084007
2.83121396084591,3.10398695065464,1.10155116084007
2.82434180446158,3.11741566193396,1.10155116084007
2.82003299551907,3.14732062072132,1.10155116084007
2.81874942130156,3.18750707745568,1.10155116084007
2.82038082158839,3.22996485813986,1.10155116084007
2.82429135663347,3.26662750813601,1.10155116084007
2.82947399756379,3.29105986928518,1.10155116084007
2.83476338151734,3.29955439799287,1.10155116084007
2.83904513748231,3.2913729529838,1.10155116084007
2.84141178436449,3.26822439401852,1.10155116084007
2.84124560875787,3.23336127862431,1.10155116084007
2.83824180795239,3.19076525581166,1.10155116084007
2.83240424794246,3.14473439685451,1.10155116084007
